Time,Shannon
18-03,1.1837216708348983
18-04,1.2974446909285995
18-05,1.3556312407226785
18-06,1.559086989906189
18-07,0.8222653373287878
18-08,0.639031859650177
18-09,0.9556998911125343
18-10,0.8855741515766717
18-11,1.04138000510499
18-12,0.6837389058487535
19-03,1.0114042647073518
19-04,0
