distinct_location,latitude,longitude,BD-1,BD-2a,BD-2b,BD-3,Others
17,23.92,89.22,0.7352941176470589,0.029411764705882356,0.05882352941176471,0,0.17647058823529413
10,22.33,91.83,0.2909090909090909,0.12727272727272726,0.3090909090909091,0,0.2727272727272727
5,22.35,90.31,0.5,0.3,0,0,0.2
1,23.75,90.38,0.7102803738317757,0.1588785046728972,0.009345794392523364,0.08411214953271028,0.037383177570093455
4,24.8,89.93,0.8,0,0,0,0.2
15,23.45,91.2,0.8333333333333334,0.16666666666666666,0,0,0
2,24.38,91.4,0.6585365853658537,0.2195121951219512,0,0,0.12195121951219512
